Problem:    
Rows:       1
Columns:    299 (299 integer, 299 binary)
Non-zeros:  299
Status:     INTEGER OPTIMAL
Objective:  z = 547 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 poids                      10                          10 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x1           *              0             0             1 
     2 x2           *              0             0             1 
     3 x3           *              0             0             1 
     4 x4           *              0             0             1 
     5 x5           *              0             0             1 
     6 x6           *              0             0             1 
     7 x7           *              0             0             1 
     8 x8           *              0             0             1 
     9 x9           *              0             0             1 
    10 x10          *              0             0             1 
    11 x11          *              0             0             1 
    12 x12          *              0             0             1 
    13 x13          *              0             0             1 
    14 x14          *              0             0             1 
    15 x15          *              0             0             1 
    16 x16          *              0             0             1 
    17 x17          *              0             0             1 
    18 x18          *              0             0             1 
    19 x19          *              0             0             1 
    20 x20          *              0             0             1 
    21 x21          *              0             0             1 
    22 x22          *              0             0             1 
    23 x23          *              0             0             1 
    24 x24          *              0             0             1 
    25 x25          *              0             0             1 
    26 x26          *              0             0             1 
    27 x27          *              0             0             1 
    28 x28          *              0             0             1 
    29 x29          *              0             0             1 
    30 x30          *              0             0             1 
    31 x31          *              0             0             1 
    32 x32          *              0             0             1 
    33 x33          *              0             0             1 
    34 x34          *              0             0             1 
    35 x35          *              0             0             1 
    36 x36          *              0             0             1 
    37 x37          *              0             0             1 
    38 x38          *              0             0             1 
    39 x39          *              0             0             1 
    40 x40          *              0             0             1 
    41 x41          *              0             0             1 
    42 x42          *              0             0             1 
    43 x43          *              0             0             1 
    44 x44          *              0             0             1 
    45 x45          *              0             0             1 
    46 x46          *              0             0             1 
    47 x47          *              0             0             1 
    48 x48          *              0             0             1 
    49 x49          *              0             0             1 
    50 x50          *              0             0             1 
    51 x51          *              0             0             1 
    52 x52          *              0             0             1 
    53 x53          *              0             0             1 
    54 x54          *              0             0             1 
    55 x55          *              0             0             1 
    56 x56          *              0             0             1 
    57 x57          *              0             0             1 
    58 x58          *              0             0             1 
    59 x59          *              0             0             1 
    60 x60          *              0             0             1 
    61 x61          *              0             0             1 
    62 x62          *              0             0             1 
    63 x63          *              0             0             1 
    64 x64          *              0             0             1 
    65 x65          *              0             0             1 
    66 x66          *              0             0             1 
    67 x67          *              0             0             1 
    68 x68          *              0             0             1 
    69 x69          *              0             0             1 
    70 x70          *              0             0             1 
    71 x71          *              0             0             1 
    72 x72          *              0             0             1 
    73 x73          *              0             0             1 
    74 x74          *              0             0             1 
